kurtosisx,kurtosisy,kurtosisz,kurtosisf,abs_kurtosisx,abs_kurtosisy,abs_kurtosisz,abs_kurtosisf,minx,miny,minz,minf,abs_minx,abs_miny,abs_minz,abs_minf,maxx,maxy,maxz,maxf,abs_maxx,abs_maxy,abs_maxz,abs_maxf,meanx,meany,meanz,meanf,abs_meanx,abs_meany,abs_meanz,abs_meanf,medianx,mediany,medianz,medianf,label
0.511690169,0.590890204,1.52159655,17.99162684,0.520544513,0.648454607,5.314558045,18.00678111,0.002722233,0.002263308,0.007663957,0.003822829,0.002728806,0.004877981,0.008857562,0.004517985,0.761189467,1.008224167,0.956114641,1.005149092,0.761874583,1.001171332,0.962070538,1.003361322,0.201558646,0.193185749,0.195523275,0.335588496,0.198146752,0.197436206,0.199448345,0.339843429,0.016183641,0.004021248,0.006722446,0.339737722,1
1.024561229,0.449511031,0.986298932,14.74117917,0.602778502,0.536391966,6.923830747,14.7508971,0.008762893,0.003268964,0.000146964,0.006015909,0.004082458,0.005721954,0.003966066,0.005257779,0.711794399,1.005600401,0.986409036,1.007879038,0.706198754,1.009784382,0.988616478,1.009846187,0.200590727,0.219565888,0.211218245,0.394451032,0.203113472,0.223704264,0.211743234,0.395278345,0.009175307,0.010352516,0.008797881,0.407567591,1
-0.065682577,-0.731441512,-1.076729651,5.62605452,-0.280964177,-0.649878356,5.121917381,5.629642762,0.005535652,0.005622732,0.006592048,0.001395417,0.007314035,0.000969788,0.004232835,0.008843906,0.666143613,1.004888922,1.00145191,1.009905366,0.663992201,1.005589641,1.001667549,1.009421902,0.201463433,0.22513753,0.30184664,0.459992319,0.203643392,0.230172273,0.302639101,0.456488157,0.016390547,0.007549998,0.003232257,0.405635099,2
3.498171162,5.233713033,2.968653317,1.397274464,2.580952255,3.265241396,3.882710722,1.428925565,-0.007400495,-0.002483647,-0.001221996,-0.005398985,-0.005048158,-0.003143739,-0.009501869,-0.004364375,0.990763184,0.992803979,0.996651763,0.9997662,0.990580519,0.993961523,0.998764338,0.997192664,0.675885094,0.224183143,0.328132402,0.431293405,0.678906727,0.22868858,0.3258616,0.431934681,0.699075299,0.189251589,0.312774766,0.422034559,5
3.501002312,5.227832138,2.970088122,1.396085894,2.580561906,3.269544499,3.880976886,1.431425884,-0.008640366,-0.001375907,-0.000609836,-0.001941338,-0.00388424,-0.006774933,-0.007965068,-0.009496211,0.991277813,0.997724882,0.997818987,0.993968657,0.996081984,0.997549222,0.997178229,0.991572484,0.677719011,0.222289227,0.327705613,0.432756806,0.676160066,0.222638428,0.328607383,0.437368353,0.694636892,0.197417929,0.313786375,0.42739877,5
1.590063001,-1.455090734,-0.657310593,1.004745819,1.508412921,-1.496091858,-0.904936137,1.00505054,0.006766529,0.009798965,0.003706682,0.00960456,0.00721135,0.003082706,0.007480937,0.007171174,0.982126035,0.814251005,0.894852286,1.004789852,0.983655143,0.81175172,0.898209595,1.009805544,0.323005203,0.192807371,0.322629773,0.33377115,0.324972244,0.187555008,0.327284591,0.326447454,0.385321276,0.132160393,0.30780741,0.397858525,3
0.989383705,2.718835153,2.850399321,15.61619622,1.00783078,2.931871015,7.091864978,15.62138749,0.000991593,1.95E-05,0.003818824,0.008666116,0.00202259,0.003395942,0.008467252,0.00638736,0.948702256,0.935158579,0.975929022,1.009348921,0.954670161,0.93221157,0.980345054,1.007025682,0.170215487,0.15601029,0.149962031,0.331534323,0.174588325,0.155839177,0.156224341,0.334365371,0.020552145,0.004916839,0.009429622,0.33980123,1
0.971874878,2.709006652,2.838833315,15.60997799,0.998582503,2.921126993,7.079781739,15.61092881,-0.002135354,-0.006382908,-0.008698064,-0.008568276,-0.006772804,-0.005088676,-0.001611112,-0.006486819,0.94340037,0.919002203,0.971422771,0.995506283,0.944046588,0.921342381,0.9655669,0.996277872,0.160332197,0.142866646,0.139529648,0.321539995,0.15892408,0.14638905,0.146842667,0.325758714,0.004774033,-0.000566857,-0.00609193,0.332097562,1
0.516981372,0.587825817,1.528527218,17.98203766,0.5164277,0.648106406,5.318541161,18.00441309,0.006129893,0.000556883,0.007845027,0.008514981,0.002504452,0.004775324,0.000803809,0.006290784,0.7641301,1.005897299,0.964411609,1.005761965,0.764364428,1.002077606,0.96064688,1.008323404,0.20234185,0.189948149,0.195810534,0.335407063,0.207178884,0.193421735,0.196091649,0.338529918,0.015471017,0.010945198,0.010074582,0.341192355,1
4.720788505,2.682559791,7.571261546,4.748085043,5.639137811,3.210356177,7.573776791,4.751695373,-0.000443678,-0.00329658,-0.001698376,-0.007505311,-0.007922378,-0.006624047,-0.002115898,-0.001059394,0.950921976,0.996697479,0.634253931,0.994657971,0.950877143,0.99374923,0.634173881,0.995794957,0.294030592,0.315192131,0.148986294,0.201244074,0.293209615,0.315015046,0.149779273,0.194055088,0.358594018,0.314884889,0.17897447,0.002823598,3
65.73042498,2.013421102,0.938785094,1.383864919,29.00466389,-1.424098348,3.250664755,1.395259429,0.002768542,0.006949275,0.00073079,0.002773093,0.006900036,0.005549928,0.006990083,0.004417297,1.001525422,1.005602227,1.00458701,1.008898292,1.001225343,1.006035151,1.009363402,1.00787192,0.65744681,0.214092854,0.246442462,0.465101228,0.661488594,0.205106518,0.249087655,0.471276322,0.654029514,0.010094956,0.119509757,0.428683149,4
4.738220503,2.696400958,7.582847669,4.755465483,5.649002706,3.216102887,7.584272275,4.763106518,7.54E-05,0.009541133,0.001483023,0.001535686,0.008256573,0.006179176,0.005165261,0.001549363,0.966378942,1.003869051,0.64135004,1.007490949,0.965932167,1.005828167,0.648883284,1.004568527,0.307104869,0.333354392,0.157497378,0.204618739,0.304599242,0.331299556,0.159872615,0.205869195,0.361327339,0.322985766,0.188547101,0.014126651,3
